rollup_timestamp	database	value
2019-01-14	8237bf33-d19c-4910-9206-c6d43f0b498f	51.0
2019-01-15	8237bf33-d19c-4910-9206-c6d43f0b498f	588.0
2019-01-16	8237bf33-d19c-4910-9206-c6d43f0b498f	738.0
2019-01-17	8237bf33-d19c-4910-9206-c6d43f0b498f	539.0
2019-01-18	8237bf33-d19c-4910-9206-c6d43f0b498f	616.0
2019-01-19	8237bf33-d19c-4910-9206-c6d43f0b498f	601.0
2019-01-20	8237bf33-d19c-4910-9206-c6d43f0b498f	508.0
2019-01-21	8237bf33-d19c-4910-9206-c6d43f0b498f	539.0
2019-01-22	8237bf33-d19c-4910-9206-c6d43f0b498f	606.0
2019-01-23	8237bf33-d19c-4910-9206-c6d43f0b498f	604.0
2019-01-24	8237bf33-d19c-4910-9206-c6d43f0b498f	43.0
2019-01-25	8237bf33-d19c-4910-9206-c6d43f0b498f	542.0
2019-01-26	8237bf33-d19c-4910-9206-c6d43f0b498f	545.0
2019-01-27	8237bf33-d19c-4910-9206-c6d43f0b498f	538.0
2019-01-28	8237bf33-d19c-4910-9206-c6d43f0b498f	489.0
2019-01-29	8237bf33-d19c-4910-9206-c6d43f0b498f	655.0
2019-01-30	8237bf33-d19c-4910-9206-c6d43f0b498f	592.0
2019-01-31	8237bf33-d19c-4910-9206-c6d43f0b498f	555.0
2019-02-01	8237bf33-d19c-4910-9206-c6d43f0b498f	482.0
2019-02-02	8237bf33-d19c-4910-9206-c6d43f0b498f	627.0
2019-02-03	8237bf33-d19c-4910-9206-c6d43f0b498f	785.0
2019-02-04	8237bf33-d19c-4910-9206-c6d43f0b498f	56.0
2019-02-05	8237bf33-d19c-4910-9206-c6d43f0b498f	726.0
2019-02-06	8237bf33-d19c-4910-9206-c6d43f0b498f	636.0
2019-02-07	8237bf33-d19c-4910-9206-c6d43f0b498f	483.0
2019-02-08	8237bf33-d19c-4910-9206-c6d43f0b498f	557.0
2019-02-09	8237bf33-d19c-4910-9206-c6d43f0b498f	534.0
2019-02-10	8237bf33-d19c-4910-9206-c6d43f0b498f	556.0
2019-02-11	8237bf33-d19c-4910-9206-c6d43f0b498f	507.0
2019-02-12	8237bf33-d19c-4910-9206-c6d43f0b498f	605.0
2019-02-13	8237bf33-d19c-4910-9206-c6d43f0b498f	785.0
2019-02-14	8237bf33-d19c-4910-9206-c6d43f0b498f	538.0
2019-02-15	8237bf33-d19c-4910-9206-c6d43f0b498f	501.0
2019-02-16	8237bf33-d19c-4910-9206-c6d43f0b498f	595.0
2019-02-17	8237bf33-d19c-4910-9206-c6d43f0b498f	507.0
2019-02-18	8237bf33-d19c-4910-9206-c6d43f0b498f	544.0
2019-02-19	8237bf33-d19c-4910-9206-c6d43f0b498f	76.0
2019-02-20	8237bf33-d19c-4910-9206-c6d43f0b498f	537.0
2019-02-21	8237bf33-d19c-4910-9206-c6d43f0b498f	502.0
2019-02-22	8237bf33-d19c-4910-9206-c6d43f0b498f	54.0
